Printing Modifier Definitions:
Tag: build_cost, Categories: country
Tag: build_time, Categories: country
Tag: minimum_unrest, Categories: province
Tag: local_unrest, Categories: province
Tag: global_unrest, Categories: country
Tag: tax_income, Categories: province
Tag: global_tax_income, Categories: province
Tag: local_tax_modifier, Categories: province
Tag: global_tax_modifier, Categories: country
Tag: local_population_growth, Categories: province
Tag: global_population_growth, Categories: country
Tag: local_population_capacity, Categories: province
Tag: local_population_capacity_modifier, Categories: province
Tag: global_population_capacity_modifier, Categories: country
Tag: total_population_capacity_modifier, Categories: province
Tag: local_building_slot, Categories: province
Tag: global_building_slot, Categories: country
Tag: global_monthly_state_loyalty, Categories: country
Tag: local_monthly_state_loyalty, Categories: state
Tag: city_monthly_state_loyalty, Categories: province
Tag: happiness_for_wrong_culture_modifier, Categories: province
Tag: happiness_for_wrong_culture_group_modifier, Categories: province
Tag: happiness_for_same_culture_modifier, Categories: province
Tag: local_happiness_for_same_culture_modifier, Categories: province
Tag: happiness_for_same_religion_modifier, Categories: province
Tag: local_happiness_for_same_religion_modifier, Categories: province
Tag: land_morale, Categories: country
Tag: naval_morale, Categories: country
Tag: land_morale_modifier, Categories: country
Tag: naval_morale_modifier, Categories: country
Tag: non_retinue_morale_modifier, Categories: country
Tag: local_manpower, Categories: province
Tag: global_manpower, Categories: country
Tag: local_manpower_modifier, Categories: province
Tag: global_manpower_modifier, Categories: country
Tag: manpower_recovery_speed, Categories: country
Tag: attrition, Categories: province
Tag: land_unit_attrition, Categories: country
Tag: naval_unit_attrition, Categories: country
Tag: army_weight_modifier, Categories: country
Tag: navy_weight_modifier, Categories: country
Tag: max_attrition, Categories: province
Tag: supply_limit, Categories: province
Tag: supply_limit_modifier, Categories: province
Tag: global_supply_limit_modifier, Categories: country
Tag: war_exhaustion, Categories: country
Tag: max_war_exhaustion, Categories: country
Tag: fort_level, Categories: province
Tag: blockade_efficiency, Categories: country
Tag: monthly_centralization, Categories: country
Tag: monthly_legitimacy, Categories: country
Tag: agressive_expansion_impact, Categories: country
Tag: agressive_expansion_monthly_change, Categories: country
Tag: agressive_expansion_monthly_decay, Categories: country
Tag: local_ship_recruit_speed, Categories: province
Tag: local_cohort_recruit_speed, Categories: province
Tag: global_ship_recruit_speed, Categories: country
Tag: global_cohort_recruit_speed, Categories: country
Tag: garrison_size, Categories: province
Tag: garrison_growth, Categories: province
Tag: technology_investment, Categories: country
Tag: movement_cost, Categories: province
Tag: army_movement_speed, Categories: province
Tag: navy_movement_speed, Categories: province
Tag: movement_speed_if_no_road, Categories: province
Tag: local_state_trade_routes, Categories: state
Tag: global_capital_trade_routes, Categories: country
Tag: global_state_trade_routes, Categories: country
Tag: research_points, Categories: country
Tag: research_points_modifier, Categories: country
Tag: local_research_points_modifier, Categories: province
Tag: omen_power, Categories: country
Tag: omen_duration, Categories: country
Tag: discipline, Categories: country
Tag: local_defensive, Categories: province
Tag: global_defensive, Categories: country
Tag: commerce_value, Categories: country
Tag: local_commerce_value_modifier, Categories: country
Tag: global_commerce_modifier, Categories: country
Tag: global_export_commerce_modifier, Categories: country
Tag: global_import_commerce_modifier, Categories: country
Tag: state_commerce_modifier, Categories: country
Tag: tribute_income_modifier, Categories: country
Tag: ruler_popularity_gain, Categories: country
Tag: max_loyalty, Categories: country
Tag: integrate_speed, Categories: country
Tag: fabricate_claim_speed, Categories: country
Tag: monthly_wage_for_character, Categories: character
Tag: monthly_wage_modifier, Categories: country
Tag: monthly_wage_on_character_modifier, Categories: character
Tag: monthly_governor_wage, Categories: country
Tag: monthly_local_governor_wage, Categories: country
Tag: monthly_character_loyalty, Categories: country
Tag: monthly_character_popularity, Categories: country
Tag: monthly_character_popularity_decay, Categories: country
Tag: monthly_character_prominence, Categories: country
Tag: monthly_character_fam_prestige, Categories: country
Tag: cohort_reinforcement_speed, Categories: country
Tag: land_morale_recovery, Categories: country
Tag: naval_morale_recovery, Categories: country
Tag: siege_ability, Categories: country
Tag: assault_ability, Categories: country
Tag: siege_engineers, Categories: country
Tag: diplomatic_reputation, Categories: country
Tag: diplomatic_relations, Categories: country
Tag: max_rivals, Categories: country
Tag: max_friends, Categories: country
Tag: current_corruption, Categories: character
Tag: monthly_corruption, Categories: country
Tag: subject_opinions, Categories: country
Tag: subject_loyalty, Categories: country
Tag: loyalty_to_overlord, Categories: country
Tag: fort_maintenance_cost, Categories: country
Tag: army_maintenance_cost, Categories: country
Tag: navy_maintenance_cost, Categories: country
Tag: mercenary_land_maintenance_cost, Categories: country
Tag: mercenary_naval_maintenance_cost, Categories: country
Tag: country_civilization_value, Categories: country
Tag: local_country_civilization_value, Categories: country
Tag: local_monthly_civilization, Categories: province
Tag: global_monthly_civilization, Categories: country
Tag: global_start_experience, Categories: country
Tag: local_start_experience, Categories: province
Tag: global_cohort_start_experience, Categories: country
Tag: local_cohort_start_experience, Categories: province
Tag: global_ship_start_experience, Categories: country
Tag: local_ship_start_experience, Categories: province
Tag: experience_decay, Categories: country
Tag: monthly_experience_gain, Categories: country
Tag: martial, Categories: character
Tag: finesse, Categories: character
Tag: charisma, Categories: character
Tag: zeal, Categories: character
Tag: fertility, Categories: character
Tag: health, Categories: character
Tag: barbarian_growth, Categories: country
Tag: barbarian_spawn_chance, Categories: country
Tag: loyalty_gain_chance, Categories: country
Tag: loyalty_gain_chance_modifier, Categories: country
Tag: prominence, Categories: character
Tag: senate_influence, Categories: country
Tag: monthly_tyranny, Categories: country
Tag: monthly_political_influence, Categories: country
Tag: monthly_political_influence_modifier, Categories: country
Tag: retreat_delay, Categories: country
Tag: improve_relation_impact, Categories: country
Tag: hostile_attrition, Categories: country
Tag: local_hostile_attrition, Categories: province
Tag: election_term_duration, Categories: country
Tag: ship_repair_at_sea, Categories: country
Tag: war_score_cost, Categories: country
Tag: monthly_general_loyalty, Categories: country
Tag: monthly_admiral_loyalty, Categories: country
Tag: monthly_governor_loyalty, Categories: country
Tag: monthly_paid_character_loyalty, Categories: country
Tag: base_resources, Categories: province
Tag: local_goods_from_slaves, Categories: province
Tag: global_goods_from_slaves, Categories: country
Tag: disallow_job, Categories: character
Tag: disallow_office, Categories: character
Tag: disallow_command, Categories: character
Tag: show_3d_fort, Categories: character
Tag: control_range_modifier, Categories: character
Tag: diplomatic_range_modifier, Categories: character
Tag: monthly_character_wealth, Categories: character
Tag: primary_heir_attraction, Categories: character
Tag: support_for_character_as_heir, Categories: character
Tag: next_ruler_legitimacy, Categories: character
Tag: num_of_clan_chiefs, Categories: character
Tag: clan_retinue_size, Categories: character
Tag: enslavement_efficiency, Categories: character
Tag: local_output_modifier, Categories: character
Tag: holdings_possible_for_character, Categories: character
Tag: available_holdings, Categories: character
Tag: holding_income_modifier, Categories: character
Tag: stability_monthly_change, Categories: country
Tag: stability_monthly_decay, Categories: country
Tag: power_base, Categories: country
Tag: civil_war_threshold, Categories: country
Tag: rebellion_threshold, Categories: country
Tag: ship_capture_chance, Categories: country
Tag: naval_damage_done, Categories: country
Tag: naval_damage_taken, Categories: country
Tag: ship_cost, Categories: country
Tag: cohort_cost, Categories: country
Tag: pirate_haven, Categories: province
Tag: pirate_plunder, Categories: province
Tag: anti_piracy_cb, Categories: country
Tag: naval_range, Categories: country
Tag: monthly_military_experience, Categories: country
Tag: monthly_military_experience_modifier, Categories: country
Tag: local_pop_promotion_speed, Categories: province
Tag: global_pop_promotion_speed, Categories: province
Tag: local_pop_promotion_speed_modifier, Categories: province
Tag: global_pop_promotion_speed_modifier, Categories: province
Tag: local_pop_demotion_speed, Categories: province
Tag: global_pop_demotion_speed, Categories: province
Tag: local_pop_demotion_speed_modifier, Categories: province
Tag: global_pop_demotion_speed_modifier, Categories: province
Tag: local_migration_attraction, Categories: province
Tag: local_migration_speed, Categories: province
Tag: global_migration_speed, Categories: province
Tag: local_migration_speed_modifier, Categories: province
Tag: global_migration_speed_modifier, Categories: province
Tag: local_pop_conversion_speed, Categories: province
Tag: global_pop_conversion_speed, Categories: province
Tag: local_pop_conversion_speed_modifier, Categories: province
Tag: global_pop_conversion_speed_modifier, Categories: province
Tag: local_pop_assimilation_speed, Categories: province
Tag: global_pop_assimilation_speed, Categories: province
Tag: local_pop_assimilation_speed_modifier, Categories: province
Tag: global_pop_assimilation_speed_modifier, Categories: province
Tag: monthly_clan_chief_loyalty, Categories: country
Tag: local_monthly_food, Categories: province
Tag: global_monthly_food_modifier, Categories: country
Tag: global_food_capacity, Categories: country
Tag: local_food_capacity, Categories: province
Tag: local_monthly_food_modifier, Categories: province
Tag: local_hostile_food_multiplier, Categories: province
Tag: pop_food_consumption, Categories: province
Tag: monthly_character_experience, Categories: character
Tag: monthly_character_experience_decay, Categories: character
Tag: local_citizen_output, Categories: province
Tag: global_citizen_output, Categories: country
Tag: local_citizen_happyness, Categories: province
Tag: global_citizen_happyness, Categories: country
Tag: local_citizen_desired_pop_ratio, Categories: province
Tag: global_citizen_desired_pop_ratio, Categories: country
Tag: global_citizen_city_desired_pop_ratio, Categories: province
Tag: local_freemen_output, Categories: province
Tag: global_freemen_output, Categories: country
Tag: local_freemen_happyness, Categories: province
Tag: global_freemen_happyness, Categories: country
Tag: local_freemen_desired_pop_ratio, Categories: province
Tag: global_freemen_desired_pop_ratio, Categories: country
Tag: global_freemen_city_desired_pop_ratio, Categories: province
Tag: local_slaves_output, Categories: province
Tag: global_slaves_output, Categories: country
Tag: local_slaves_happyness, Categories: province
Tag: global_slaves_happyness, Categories: country
Tag: local_slaves_desired_pop_ratio, Categories: province
Tag: global_slaves_desired_pop_ratio, Categories: country
Tag: global_slaves_city_desired_pop_ratio, Categories: province
Tag: local_tribesmen_output, Categories: province
Tag: global_tribesmen_output, Categories: country
Tag: local_tribesmen_happyness, Categories: province
Tag: global_tribesmen_happyness, Categories: country
Tag: local_tribesmen_desired_pop_ratio, Categories: province
Tag: global_tribesmen_desired_pop_ratio, Categories: country
Tag: global_tribesmen_city_desired_pop_ratio, Categories: province
