From;To;Type;Through;x;y;x;y;
1200;1302;river_large;4897;-1;-1;-1;-1;-1;Osgiliath crossing
1492;1201;river_large;4898;-1;-1;-1;-1;-1;Cair Andros west crossing
1262;1201;river_large;4898;-1;-1;-1;-1;-1;Cair Andros east crossing
2520;2228;river_large;4943;-1;-1;-1;-1;-1;Lindon Lhun crossing
2555;2556;river_large;4900;-1;-1;-1;-1;-1;Nuar crossing
2572;2581;river_large;4924;-1;-1;-1;-1;-1;Denuly crossing
44;614;river_large;4904;-1;-1;-1;-1;-1;Harnen Ancalimmon crossing
2280;2242;river_large;4933;-1;-1;-1;-1;-1;Lefnui crossing
1322;1346;river_large;4947;-1;-1;-1;-1;-1;Gilrain crossing
1209;709;river_large;4963;-1;-1;-1;-1;-1;Poros crossing
1437;1404;river_large;4930;-1;-1;-1;-1;-1;Morthond lower crossing
2141;2201;river_large;4911;-1;-1;-1;-1;-1;Angren crossing
1036;945;river_large;4945;-1;-1;-1;-1;-1;Anghir crossing
1036;1039;river_large;4945;-1;-1;-1;-1;-1;Anghir crossing
1038;1036;river_large;4946;-1;-1;-1;-1;-1;Anghir crossing
1038;946;river_large;4946;-1;-1;-1;-1;-1;Anghir crossing
1038;919;river_large;4946;-1;-1;-1;-1;-1;Anghir crossing
1600;1955;river_large;4909;-1;-1;-1;-1;-1;Baranduin lower crossing
1600;2159;river_large;4942;-1;-1;-1;-1;-1;Baranduin lower crossing
2085;2080;river_large;4919;-1;-1;-1;-1;-1;Lokhurush crossing
3621;3911;river_large;4921;-1;-1;-1;-1;-1;Sires crossing
2100;3911;river_large;4921;-1;-1;-1;-1;-1;Sires crossing
3933;408;river_large;4965;-1;-1;-1;-1;-1;Riyesha crossing
3933;401;river_large;4965;-1;-1;-1;-1;-1;Riyesha crossing
467;494;river_large;4967;-1;-1;-1;-1;-1;Siresha crossing
510;516;river_large;4952;-1;-1;-1;-1;-1;Siresha crossing
510;3930;river_large;4952;-1;-1;-1;-1;-1;Siresha crossing
500;501;river_large;4953;-1;-1;-1;-1;-1;Siresha crossing
500;499;river_large;4968;-1;-1;-1;-1;-1;Siresha crossing
102;101;river_large;4906;-1;-1;-1;-1;-1;Celduin crossing
209;211;river_large;4908;-1;-1;-1;-1;-1;Celduin crossing
178;179;river_large;4951;-1;-1;-1;-1;-1;Celduin crossing
135;137;river_large;4958;-1;-1;-1;-1;-1;Vol Kug crossing
3924;128;river_large;4957;-1;-1;-1;-1;-1;Fola Kolamok crossing
132;126;river_large;4956;-1;-1;-1;-1;-1;Fola Kolamok crossing
110;111;river_large;4954;-1;-1;-1;-1;-1;Othnen crossing
283;3912;river_large;4961;-1;-1;-1;-1;-1;Othnen crossing
2526;1602;river_large;4913;-1;-1;-1;-1;-1;Lhun crossing
2525;1602;river_large;4913;-1;-1;-1;-1;-1;Lhun crossing
2246;2256;river_large;4935;-1;-1;-1;-1;-1;Lefnui crossing
2246;2279;river_large;4934;-1;-1;-1;-1;-1;Lefnui crossing
2246;3941;river_large;4936;-1;-1;-1;-1;-1;Lefnui crossing
2280;2241;river_large;4933;-1;-1;-1;-1;-1;Lefnui crossing
2241;3941;river_large;4936;-1;-1;-1;-1;-1;Lefnui crossing
1130;3785;river_large;4948;-1;-1;-1;-1;-1;Harnen crossing
1405;1438;river_large;4930;-1;-1;-1;-1;-1;Morthond crossing
1405;1408;river_large;4931;-1;-1;-1;-1;-1;Morthond crossing
1408;1438;river_large;4932;-1;-1;-1;-1;-1;Morthond crossing
